"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
invertivores-benthic,Apogonidae,Pristiapogon fraenatus,"0.101
[0.004, 0.428]","0.417
[0.026, 0.947]","0.128
[0.006, 0.644]","0.188
[0.013, 0.695]"
invertivores-benthic,Balistidae,-,"0.07
[0.017, 0.197]","0.417
[0.204, 0.679]","0.204
[0.061, 0.453]","0.272
[0.012, 0.593]"
invertivores-benthic,Balistidae,Balistapus undulatus,"0.028
[0.003, 0.102]","0.375
[0.131, 0.637]","0.175
[0.017, 0.411]","0.409
[0.006, 0.794]"
invertivores-benthic,Balistidae,Rhinecanthus aculeatus,"0.064
[0.008, 0.206]","0.825
[0.629, 0.955]","0.048
[0.007, 0.133]","0.047
[0.004, 0.146]"
invertivores-benthic,Balistidae,Rhinecanthus lunula,"0.071
[0.006, 0.342]","0.214
[0.041, 0.48]","0.329
[0.054, 0.611]","0.311
[0.009, 0.849]"
invertivores-benthic,Balistidae,Rhinecanthus rectangulus,"0.101
[0.006, 0.256]","0.227
[0.053, 0.522]","0.24
[0.027, 0.529]","0.428
[0.009, 0.816]"
invertivores-benthic,Balistidae,Sufflamen bursa,"0.055
[0.007, 0.149]","0.41
[0.19, 0.582]","0.301
[0.055, 0.453]","0.221
[0.01, 0.657]"
invertivores-benthic,Chaetodontidae,-,"0.071
[0.021, 0.18]","0.607
[0.305, 0.807]","0.198
[0.066, 0.399]","0.08
[0.003, 0.434]"
invertivores-benthic,Chaetodontidae,Chaetodon auriga,"0.08
[0.024, 0.184]","0.7
[0.509, 0.9]","0.184
[0.026, 0.327]","0.022
[0.002, 0.121]"
invertivores-benthic,Chaetodontidae,Chaetodon lunula,"0.038
[0.004, 0.142]","0.765
[0.547, 0.919]","0.122
[0.015, 0.256]","0.041
[0.002, 0.349]"
invertivores-benthic,Chaetodontidae,Chaetodon mertensii,"0.053
[0.006, 0.226]","0.655
[0.122, 0.888]","0.155
[0.018, 0.371]","0.073
[0.002, 0.629]"
invertivores-benthic,Chaetodontidae,Chaetodon vagabundus,"0.091
[0.023, 0.213]","0.774
[0.574, 0.916]","0.082
[0.012, 0.197]","0.031
[0.002, 0.187]"
invertivores-benthic,Chaetodontidae,Forcipiger flavissimus,"0.055
[0.007, 0.161]","0.508
[0.206, 0.67]","0.303
[0.042, 0.44]","0.092
[0.002, 0.621]"
invertivores-benthic,Chaetodontidae,Forcipiger longirostris,"0.085
[0.009, 0.235]","0.307
[0.115, 0.49]","0.446
[0.175, 0.577]","0.113
[0.002, 0.616]"
invertivores-benthic,Creediidae,-,"0.049
[0.003, 0.282]","0.319
[0.027, 0.848]","0.171
[0.013, 0.776]","0.335
[0.023, 0.836]"
invertivores-benthic,Creediidae,Limnichthys nitidus,"0.023
[0.001, 0.24]","0.24
[0.012, 0.883]","0.145
[0.005, 0.858]","0.381
[0.014, 0.927]"
invertivores-benthic,Diodontidae,-,"0.057
[0.004, 0.292]","0.306
[0.029, 0.681]","0.264
[0.011, 0.716]","0.268
[0.017, 0.931]"
invertivores-benthic,Diodontidae,Diodon hystrix,"0.038
[0.001, 0.248]","0.238
[0.007, 0.5]","0.419
[0.003, 0.716]","0.209
[0.01, 0.98]"
invertivores-benthic,Gobiidae,-,"0.098
[0.011, 0.432]","0.44
[0.109, 0.874]","0.11
[0.01, 0.414]","0.249
[0.026, 0.647]"
