"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
macrocarnivores,Lethrinidae,-,"0.118
[0.028, 0.284]","0.081
[0.014, 0.228]","0.138
[0.026, 0.366]","0.632
[0.371, 0.862]"
macrocarnivores,Lethrinidae,Gnathodentex aureolineatus,"0.173
[0.019, 0.33]","0.058
[0.009, 0.214]","0.064
[0.013, 0.156]","0.682
[0.488, 0.893]"
macrocarnivores,Lethrinidae,Lethrinus xanthochilus,"0.108
[0.016, 0.353]","0.071
[0.009, 0.295]","0.149
[0.015, 0.5]","0.603
[0.197, 0.902]"
macrocarnivores,Lethrinidae,Monotaxis grandoculis,"0.103
[0.012, 0.265]","0.048
[0.007, 0.168]","0.062
[0.011, 0.163]","0.763
[0.558, 0.925]"
macrocarnivores,Lutjanidae,-,"0.072
[0.016, 0.177]","0.093
[0.024, 0.224]","0.399
[0.242, 0.567]","0.414
[0.239, 0.63]"
macrocarnivores,Lutjanidae,Aphareus furca,"0.084
[0.013, 0.202]","0.089
[0.017, 0.214]","0.581
[0.474, 0.668]","0.228
[0.095, 0.412]"
macrocarnivores,Lutjanidae,Lutjanus fulvus,"0.04
[0.007, 0.114]","0.061
[0.01, 0.191]","0.283
[0.156, 0.395]","0.602
[0.432, 0.778]"
macrocarnivores,Lutjanidae,Lutjanus kasmira,"0.064
[0.009, 0.179]","0.074
[0.014, 0.205]","0.387
[0.239, 0.521]","0.461
[0.233, 0.674]"
macrocarnivores,Lutjanidae,Lutjanus monostigma,"0.083
[0.01, 0.251]","0.102
[0.016, 0.288]","0.447
[0.222, 0.591]","0.34
[0.131, 0.658]"
macrocarnivores,Muraenidae,-,"0.146
[0.04, 0.354]","0.15
[0.035, 0.37]","0.286
[0.109, 0.477]","0.39
[0.142, 0.669]"
macrocarnivores,Muraenidae,Gymnothorax fimbriatus,"0.299
[0.059, 0.473]","0.18
[0.028, 0.392]","0.207
[0.065, 0.339]","0.299
[0.098, 0.657]"
macrocarnivores,Muraenidae,Gymnothorax javanicus,"0.145
[0.02, 0.551]","0.149
[0.019, 0.501]","0.212
[0.049, 0.481]","0.403
[0.093, 0.787]"
macrocarnivores,Muraenidae,Uropterygius xanthopterus,"0.119
[0.022, 0.283]","0.139
[0.02, 0.419]","0.353
[0.081, 0.563]","0.349
[0.088, 0.762]"
macrocarnivores,Priacanthidae,-,"0.082
[0.016, 0.252]","0.106
[0.021, 0.293]","0.389
[0.139, 0.687]","0.38
[0.126, 0.715]"
macrocarnivores,Priacanthidae,Priacanthus hamrur,"0.071
[0.01, 0.242]","0.085
[0.014, 0.283]","0.511
[0.118, 0.732]","0.293
[0.079, 0.759]"
macrocarnivores,Scombridae,-,"0.082
[0.017, 0.274]","0.104
[0.02, 0.299]","0.382
[0.115, 0.71]","0.381
[0.117, 0.742]"
macrocarnivores,Scombridae,Gymnosarda unicolor,"0.073
[0.01, 0.302]","0.081
[0.013, 0.298]","0.478
[0.081, 0.781]","0.309
[0.067, 0.791]"
macrocarnivores,Scorpaenidae,-,"0.072
[0.015, 0.199]","0.115
[0.022, 0.316]","0.294
[0.101, 0.507]","0.488
[0.25, 0.786]"
macrocarnivores,Scorpaenidae,Pterois radiata,"0.056
[0.009, 0.176]","0.105
[0.014, 0.344]","0.204
[0.07, 0.356]","0.608
[0.322, 0.854]"
macrocarnivores,Scorpaenidae,Scorpaenopsis papuensis,"0.064
[0.009, 0.22]","0.107
[0.015, 0.352]","0.353
[0.07, 0.599]","0.434
[0.135, 0.834]"
macrocarnivores,Sphyraenidae,-,"0.086
[0.017, 0.284]","0.108
[0.019, 0.322]","0.339
[0.101, 0.626]","0.422
[0.161, 0.766]"
macrocarnivores,Sphyraenidae,Sphyraena barracuda,"0.078
[0.01, 0.332]","0.091
[0.012, 0.332]","0.357
[0.066, 0.641]","0.412
[0.123, 0.826]"
macrocarnivores,Synodontidae,-,"0.115
[0.037, 0.29]","0.242
[0.053, 0.574]","0.245
[0.078, 0.445]","0.356
[0.129, 0.628]"
macrocarnivores,Synodontidae,Synodus binotatus,"0.113
[0.023, 0.284]","0.25
[0.037, 0.56]","0.282
[0.072, 0.46]","0.318
[0.086, 0.694]"
macrocarnivores,Synodontidae,Synodus jaculum,"0.141
[0.048, 0.371]","0.49
[0.052, 0.755]","0.111
[0.035, 0.261]","0.244
[0.062, 0.541]"
microphages,-,-,"0.522
[0.391, 0.652]","0.065
[0.006, 0.235]","0.346
[0.214, 0.473]","0.041
[0.002, 0.178]"
microphages,Scaridae,Calotomus carolinus,"0.354
[0.232, 0.453]","0.06
[0.004, 0.272]","0.515
[0.369, 0.62]","0.039
[0.002, 0.217]"
microphages,Scaridae,Chlorurus microrhinos,"0.374
[0.233, 0.49]","0.054
[0.004, 0.264]","0.506
[0.343, 0.626]","0.034
[0.002, 0.209]"
microphages,Scaridae,Chlorurus spilurus,"0.648
[0.52, 0.755]","0.057
[0.004, 0.248]","0.231
[0.111, 0.329]","0.033
[0.002, 0.18]"
microphages,Scaridae,Scarus altipinnis,"0.544
[0.387, 0.673]","0.067
[0.005, 0.334]","0.306
[0.154, 0.429]","0.042
[0.002, 0.248]"
microphages,Scaridae,Scarus forsteni,"0.448
[0.326, 0.551]","0.055
[0.004, 0.225]","0.433
[0.312, 0.538]","0.038
[0.002, 0.174]"
microphages,Scaridae,Scarus frenatus,"0.643
[0.485, 0.808]","0.049
[0.004, 0.223]","0.247
[0.1, 0.391]","0.029
[0.002, 0.153]"
microphages,Scaridae,Scarus globiceps,"0.667
[0.518, 0.795]","0.055
[0.004, 0.254]","0.213
[0.092, 0.329]","0.033
[0.002, 0.177]"
microphages,Scaridae,Scarus oviceps,"0.545
[0.397, 0.662]","0.072
[0.005, 0.314]","0.302
[0.162, 0.416]","0.046
[0.002, 0.227]"
microphages,Scaridae,Scarus psittacus,"0.628
[0.487, 0.739]","0.065
[0.004, 0.293]","0.239
[0.119, 0.345]","0.037
[0.002, 0.193]"
microphages,Scaridae,Scarus rubroviolaceus,"0.446
[0.29, 0.572]","0.062
[0.005, 0.302]","0.414
[0.251, 0.536]","0.042
[0.002, 0.239]"
microphages,Scaridae,Scarus schlegeli,"0.375
[0.234, 0.482]","0.058
[0.004, 0.282]","0.492
[0.361, 0.597]","0.039
[0.002, 0.207]"
omnivores-benthic,-,-,"0.225
[0.109, 0.355]","0.176
[0.019, 0.369]","0.518
[0.398, 0.63]","0.061
[0.003, 0.217]"
omnivores-benthic,Ephippidae,-,"0.233
[0.098, 0.399]","0.18
[0.019, 0.428]","0.502
[0.324, 0.633]","0.061
[0.003, 0.236]"
omnivores-benthic,Ephippidae,Platax orbicularis,"0.259
[0.091, 0.418]","0.189
[0.018, 0.489]","0.456
[0.287, 0.608]","0.063
[0.003, 0.275]"
omnivores-benthic,Monacanthidae,-,"0.199
[0.09, 0.325]","0.162
[0.017, 0.359]","0.552
[0.425, 0.685]","0.06
[0.003, 0.229]"
omnivores-benthic,Monacanthidae,Aluterus scriptus,"0.166
[0.066, 0.285]","0.143
[0.016, 0.336]","0.611
[0.475, 0.728]","0.056
[0.003, 0.226]"
omnivores-benthic,Monacanthidae,Cantherhines sandwichiensis,"0.181
[0.077, 0.294]","0.158
[0.018, 0.347]","0.573
[0.455, 0.678]","0.061
[0.003, 0.248]"
omnivores-benthic,Ostraciidae,-,"0.227
[0.101, 0.373]","0.172
[0.019, 0.401]","0.518
[0.383, 0.646]","0.06
[0.003, 0.216]"
omnivores-benthic,Ostraciidae,Ostracion cubicum,"0.302
[0.123, 0.457]","0.202
[0.018, 0.505]","0.4
[0.26, 0.55]","0.062
[0.003, 0.251]"
omnivores-benthic,Ostraciidae,Ostracion meleagris,"0.178
[0.073, 0.294]","0.135
[0.017, 0.324]","0.615
[0.48, 0.725]","0.05
[0.003, 0.202]"
omnivores-benthic,Pomacanthidae,-,"0.207
[0.088, 0.329]","0.158
[0.017, 0.363]","0.557
[0.437, 0.673]","0.055
[0.003, 0.202]"
omnivores-benthic,Pomacanthidae,Centropyge bispinosa,"0.263
[0.083, 0.431]","0.168
[0.016, 0.502]","0.476
[0.304, 0.625]","0.054
[0.003, 0.222]"
omnivores-benthic,Pomacanthidae,Centropyge flavissima,"0.176
[0.065, 0.288]","0.131
[0.015, 0.327]","0.625
[0.515, 0.715]","0.047
[0.003, 0.185]"
omnivores-benthic,Pomacanthidae,Centropyge loriculus,"0.169
[0.064, 0.29]","0.137
[0.014, 0.327]","0.621
[0.486, 0.736]","0.051
[0.003, 0.22]"
omnivores-benthic,Pomacanthidae,Pomacanthus imperator,"0.17
[0.067, 0.286]","0.148
[0.015, 0.338]","0.604
[0.466, 0.709]","0.054
[0.003, 0.239]"
omnivores-benthic,Pomacanthidae,Pygoplites diacanthus,"0.215
[0.084, 0.335]","0.152
[0.015, 0.367]","0.556
[0.45, 0.659]","0.052
[0.003, 0.209]"
omnivores-benthic,Pomacentridae,-,"0.219
[0.107, 0.342]","0.176
[0.019, 0.383]","0.525
[0.41, 0.63]","0.061
[0.003, 0.222]"
omnivores-benthic,Pomacentridae,Abudefduf septemfasciatus,"0.23
[0.095, 0.364]","0.201
[0.018, 0.455]","0.477
[0.349, 0.594]","0.064
[0.003, 0.273]"
omnivores-benthic,Pomacentridae,Abudefduf sordidus,"0.237
[0.095, 0.378]","0.19
[0.019, 0.44]","0.483
[0.34, 0.618]","0.062
[0.003, 0.259]"
omnivores-benthic,Pomacentridae,Chrysiptera brownriggii,"0.186
[0.07, 0.331]","0.154
[0.018, 0.377]","0.574
[0.405, 0.727]","0.055
[0.003, 0.232]"
omnivores-benthic,Pomacentridae,Plectroglyphidodon dickii,"0.239
[0.1, 0.385]","0.183
[0.019, 0.432]","0.49
[0.333, 0.634]","0.062
[0.003, 0.255]"
omnivores-benthic,Pomacentridae,Plectroglyphidodon fasciolatus,"0.185
[0.082, 0.292]","0.145
[0.017, 0.311]","0.6
[0.498, 0.689]","0.053
[0.003, 0.195]"
omnivores-benthic,Pomacentridae,Plectroglyphidodon johnstonianus,"0.217
[0.087, 0.358]","0.179
[0.018, 0.417]","0.51
[0.354, 0.657]","0.062
[0.003, 0.254]"
omnivores-benthic,Tetraodontidae,-,"0.256
[0.121, 0.42]","0.191
[0.018, 0.427]","0.469
[0.314, 0.596]","0.063
[0.003, 0.225]"
omnivores-benthic,Tetraodontidae,Canthigaster bennetti,"0.352
[0.158, 0.518]","0.208
[0.018, 0.507]","0.351
[0.215, 0.498]","0.062
[0.003, 0.244]"
omnivores-benthic,Tetraodontidae,Canthigaster solandri,"0.237
[0.107, 0.37]","0.2
[0.018, 0.428]","0.476
[0.346, 0.596]","0.065
[0.003, 0.262]"
omnivores-benthic,Tetraodontidae,Canthigaster valentini,"0.286
[0.122, 0.453]","0.201
[0.017, 0.476]","0.42
[0.269, 0.57]","0.061
[0.003, 0.259]"
omnivores-pelagic,-,-,"0.16
[0.026, 0.482]","0.205
[0.039, 0.542]","0.49
[0.157, 0.748]","0.09
[0.005, 0.344]"
omnivores-pelagic,Acanthuridae,-,"0.096
[0.002, 0.407]","0.079
[0.001, 0.351]","0.725
[0.341, 0.944]","0.048
[0.001, 0.292]"
omnivores-pelagic,Acanthuridae,Naso brevirostris,"0.091
[0.002, 0.37]","0.073
[0.001, 0.286]","0.744
[0.367, 0.918]","0.049
[0.001, 0.285]"
omnivores-pelagic,Acanthuridae,Naso vlamingii,"0.074
[0.001, 0.399]","0.053
[0.001, 0.275]","0.793
[0.365, 0.958]","0.038
[0.001, 0.268]"
omnivores-pelagic,Balistidae,-,"0.134
[0.004, 0.389]","0.216
[0.034, 0.509]","0.57
[0.264, 0.841]","0.03
[0, 0.217]"
omnivores-pelagic,Balistidae,Melichthys niger,"0.126
[0.003, 0.364]","0.2
[0.029, 0.435]","0.613
[0.318, 0.824]","0.025
[0, 0.226]"
omnivores-pelagic,Balistidae,Melichthys vidua,"0.147
[0.003, 0.382]","0.257
[0.042, 0.504]","0.546
[0.297, 0.744]","0.026
[0, 0.199]"
omnivores-pelagic,Hemiramphidae,-,"0.125
[0.002, 0.462]","0.134
[0.003, 0.533]","0.602
[0.207, 0.932]","0.052
[0, 0.336]"
omnivores-pelagic,Hemiramphidae,Hemiramphus depauperatus,"0.117
[0.001, 0.429]","0.116
[0.002, 0.494]","0.657
[0.223, 0.924]","0.046
[0, 0.313]"
omnivores-pelagic,Pomacentridae,-,"0.141
[0.032, 0.339]","0.299
[0.027, 0.702]","0.322
[0.071, 0.614]","0.152
[0.002, 0.676]"
omnivores-pelagic,Pomacentridae,Dascyllus aruanus,"0.176
[0.044, 0.398]","0.432
[0.023, 0.803]","0.145
[0.031, 0.378]","0.178
[0.002, 0.695]"
omnivores-pelagic,Pomacentridae,Pomacentrus coelestis,"0.135
[0.021, 0.372]","0.284
[0.017, 0.728]","0.321
[0.071, 0.652]","0.143
[0.002, 0.69]"
omnivores-pelagic,Pomacentridae,Pomacentrus pavo,"0.12
[0.018, 0.329]","0.279
[0.016, 0.74]","0.343
[0.063, 0.68]","0.146
[0.002, 0.748]"
omnivores-pelagic,Pomacentridae,Pomachromis fuscidorsalis,"0.119
[0.02, 0.307]","0.237
[0.018, 0.638]","0.417
[0.129, 0.71]","0.14
[0.002, 0.632]"
planktivores,-,-,"0.179
[0.063, 0.282]","0.131
[0.005, 0.316]","0.575
[0.459, 0.683]","0.105
[0.003, 0.283]"
planktivores,Acanthuridae,-,"0.181
[0.059, 0.318]","0.119
[0.005, 0.324]","0.575
[0.423, 0.721]","0.102
[0.004, 0.308]"
planktivores,Acanthuridae,Acanthurus thompsoni,"0.187
[0.053, 0.312]","0.116
[0.005, 0.31]","0.58
[0.436, 0.702]","0.101
[0.004, 0.298]"
planktivores,Anthiadidae,-,"0.153
[0.055, 0.266]","0.11
[0.005, 0.3]","0.615
[0.47, 0.754]","0.097
[0.003, 0.293]"
planktivores,Anthiadidae,Mirolabrichthys pascalus,"0.133
[0.048, 0.218]","0.096
[0.004, 0.251]","0.664
[0.544, 0.758]","0.09
[0.003, 0.27]"
planktivores,Balistidae,-,"0.202
[0.068, 0.352]","0.128
[0.005, 0.347]","0.544
[0.398, 0.671]","0.105
[0.004, 0.3]"
planktivores,Balistidae,Odonus niger,"0.234
[0.069, 0.354]","0.136
[0.006, 0.349]","0.512
[0.388, 0.623]","0.108
[0.004, 0.294]"
planktivores,Caesionidae,-,"0.177
[0.051, 0.332]","0.122
[0.004, 0.345]","0.58
[0.429, 0.73]","0.093
[0.003, 0.282]"
planktivores,Caesionidae,Pterocaesio tile,"0.179
[0.045, 0.34]","0.117
[0.004, 0.349]","0.586
[0.436, 0.737]","0.085
[0.003, 0.266]"
planktivores,Chaetodontidae,-,"0.159
[0.056, 0.265]","0.115
[0.005, 0.306]","0.612
[0.477, 0.732]","0.096
[0.003, 0.281]"
planktivores,Chaetodontidae,Chaetodon trichrous,"0.154
[0.055, 0.256]","0.109
[0.005, 0.301]","0.628
[0.496, 0.734]","0.089
[0.003, 0.276]"
planktivores,Chaetodontidae,Hemitaurichthys polylepis,"0.145
[0.045, 0.246]","0.105
[0.005, 0.289]","0.643
[0.509, 0.755]","0.087
[0.003, 0.27]"
planktivores,Kuhliidae,-,"0.191
[0.059, 0.352]","0.124
[0.005, 0.336]","0.561
[0.411, 0.703]","0.101
[0.003, 0.287]"
planktivores,Kuhliidae,Kuhlia mugil,"0.209
[0.055, 0.37]","0.12
[0.005, 0.34]","0.55
[0.39, 0.69]","0.098
[0.004, 0.292]"
planktivores,Microdesmidae,-,"0.164
[0.051, 0.282]","0.118
[0.005, 0.325]","0.593
[0.445, 0.733]","0.097
[0.003, 0.3]"
planktivores,Microdesmidae,Nemateleotris magnifica,"0.146
[0.042, 0.268]","0.107
[0.005, 0.322]","0.628
[0.457, 0.773]","0.09
[0.003, 0.312]"
planktivores,Microdesmidae,Ptereleotris evides,"0.172
[0.05, 0.31]","0.123
[0.005, 0.355]","0.578
[0.41, 0.726]","0.101
[0.003, 0.321]"
planktivores,Pomacentridae,-,"0.174
[0.064, 0.272]","0.173
[0.005, 0.405]","0.506
[0.368, 0.611]","0.131
[0.004, 0.388]"
planktivores,Pomacentridae,Abudefduf sexfasciatus,"0.212
[0.082, 0.321]","0.183
[0.005, 0.463]","0.447
[0.288, 0.567]","0.136
[0.004, 0.427]"
planktivores,Pomacentridae,Chromis atripectoralis,"0.163
[0.056, 0.269]","0.173
[0.005, 0.434]","0.5
[0.333, 0.633]","0.138
[0.004, 0.441]"
planktivores,Pomacentridae,Chromis viridis,"0.185
[0.063, 0.307]","0.195
[0.005, 0.509]","0.435
[0.259, 0.576]","0.151
[0.004, 0.477]"
planktivores,Pomacentridae,Chromis xanthura,"0.13
[0.048, 0.223]","0.141
[0.005, 0.329]","0.584
[0.414, 0.698]","0.127
[0.003, 0.399]"
planktivores,Pomacentridae,Dascyllus flavicaudus,"0.183
[0.055, 0.292]","0.19
[0.005, 0.459]","0.462
[0.32, 0.573]","0.134
[0.003, 0.428]"
planktivores,Pomacentridae,Dascyllus trimaculatus,"0.19
[0.064, 0.292]","0.163
[0.005, 0.386]","0.513
[0.397, 0.608]","0.122
[0.003, 0.351]"
planktivores,Pomacentridae,Pycnochromis iomelas,"0.136
[0.045, 0.229]","0.15
[0.005, 0.389]","0.561
[0.394, 0.684]","0.124
[0.003, 0.41]"
planktivores,Pomacentridae,Pycnochromis margaritifer,"0.209
[0.058, 0.333]","0.204
[0.005, 0.516]","0.424
[0.284, 0.552]","0.126
[0.003, 0.419]"
