"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
invertivores-benthic,Apogonidae,Pristiapogon fraenatus,"0.073
[0.001, 0.309]","0.243
[0.005, 0.918]","0.157
[0.01, 0.564]","0.325
[0.015, 0.866]"
invertivores-benthic,Balistidae,-,"0.048
[0.007, 0.161]","0.168
[0.028, 0.475]","0.319
[0.122, 0.584]","0.422
[0.079, 0.704]"
invertivores-benthic,Balistidae,Balistapus undulatus,"0.014
[0.001, 0.067]","0.143
[0.021, 0.379]","0.347
[0.098, 0.597]","0.497
[0.032, 0.79]"
invertivores-benthic,Balistidae,Rhinecanthus aculeatus,"0.114
[0.008, 0.477]","0.606
[0.018, 0.857]","0.116
[0.018, 0.264]","0.146
[0.019, 0.474]"
invertivores-benthic,Balistidae,Rhinecanthus lunula,"0.035
[0.002, 0.183]","0.086
[0.01, 0.277]","0.584
[0.136, 0.801]","0.255
[0.029, 0.783]"
invertivores-benthic,Balistidae,Rhinecanthus rectangulus,"0.039
[0.002, 0.172]","0.073
[0.006, 0.286]","0.186
[0.017, 0.57]","0.674
[0.065, 0.933]"
invertivores-benthic,Balistidae,Sufflamen bursa,"0.034
[0.002, 0.142]","0.245
[0.029, 0.418]","0.447
[0.218, 0.596]","0.265
[0.035, 0.625]"
invertivores-benthic,Chaetodontidae,-,"0.071
[0.013, 0.23]","0.126
[0.013, 0.615]","0.21
[0.058, 0.483]","0.546
[0.007, 0.808]"
invertivores-benthic,Chaetodontidae,Chaetodon auriga,"0.159
[0.028, 0.303]","0.092
[0.005, 0.705]","0.101
[0.013, 0.374]","0.607
[0.006, 0.804]"
invertivores-benthic,Chaetodontidae,Chaetodon lunula,"0.078
[0.003, 0.235]","0.1
[0.004, 0.698]","0.057
[0.006, 0.332]","0.717
[0.006, 0.923]"
invertivores-benthic,Chaetodontidae,Chaetodon mertensii,"0.055
[0.003, 0.208]","0.107
[0.004, 0.639]","0.11
[0.009, 0.439]","0.67
[0.005, 0.933]"
invertivores-benthic,Chaetodontidae,Chaetodon vagabundus,"0.128
[0.015, 0.36]","0.329
[0.007, 0.764]","0.067
[0.009, 0.264]","0.459
[0.004, 0.736]"
