"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
macrocarnivores,Lethrinidae,Gnathodentex aureolineatus,"0.23
[0.036, 0.368]","0.055
[0.002, 0.376]","0.051
[0.005, 0.18]","0.633
[0.387, 0.807]"
macrocarnivores,Lethrinidae,Lethrinus xanthochilus,"0.077
[0.005, 0.363]","0.051
[0.002, 0.352]","0.117
[0.004, 0.653]","0.643
[0.134, 0.955]"
macrocarnivores,Lethrinidae,Monotaxis grandoculis,"0.109
[0.009, 0.236]","0.03
[0.002, 0.179]","0.034
[0.003, 0.129]","0.805
[0.631, 0.943]"
macrocarnivores,Lutjanidae,-,"0.028
[0.003, 0.109]","0.059
[0.006, 0.202]","0.533
[0.256, 0.774]","0.354
[0.125, 0.672]"
macrocarnivores,Lutjanidae,Aphareus furca,"0.031
[0.001, 0.123]","0.042
[0.003, 0.134]","0.761
[0.622, 0.867]","0.144
[0.033, 0.32]"
macrocarnivores,Lutjanidae,Lutjanus fulvus,"0.01
[0.001, 0.043]","0.023
[0.002, 0.116]","0.283
[0.095, 0.458]","0.674
[0.471, 0.881]"
macrocarnivores,Lutjanidae,Lutjanus kasmira,"0.037
[0.002, 0.135]","0.082
[0.004, 0.269]","0.544
[0.316, 0.704]","0.312
[0.063, 0.621]"
macrocarnivores,Lutjanidae,Lutjanus monostigma,"0.029
[0.001, 0.179]","0.061
[0.004, 0.222]","0.619
[0.258, 0.805]","0.256
[0.045, 0.675]"
macrocarnivores,Muraenidae,-,"0.089
[0.015, 0.326]","0.164
[0.017, 0.516]","0.343
[0.101, 0.642]","0.335
[0.066, 0.726]"
macrocarnivores,Muraenidae,Gymnothorax fimbriatus,"0.23
[0.054, 0.399]","0.211
[0.014, 0.457]","0.25
[0.052, 0.426]","0.291
[0.069, 0.647]"
macrocarnivores,Muraenidae,Gymnothorax javanicus,"0.087
[0.004, 0.726]","0.24
[0.008, 0.783]","0.241
[0.026, 0.671]","0.222
[0.017, 0.819]"
macrocarnivores,Muraenidae,Uropterygius xanthopterus,"0.079
[0.007, 0.233]","0.134
[0.005, 0.475]","0.417
[0.04, 0.705]","0.302
[0.024, 0.861]"
macrocarnivores,Priacanthidae,-,"0.027
[0.002, 0.176]","0.064
[0.005, 0.294]","0.56
[0.098, 0.918]","0.29
[0.028, 0.817]"
macrocarnivores,Priacanthidae,Priacanthus hamrur,"0.018
[0.001, 0.145]","0.037
[0.002, 0.182]","0.745
[0.051, 0.949]","0.159
[0.012, 0.893]"
macrocarnivores,Scombridae,-,"0.027
[0.002, 0.186]","0.062
[0.004, 0.307]","0.539
[0.064, 0.931]","0.306
[0.024, 0.836]"
macrocarnivores,Scombridae,Gymnosarda unicolor,"0.018
[0.001, 0.238]","0.035
[0.002, 0.255]","0.727
[0.023, 0.959]","0.161
[0.01, 0.921]"
macrocarnivores,Scorpaenidae,-,"0.026
[0.002, 0.118]","0.07
[0.005, 0.312]","0.295
[0.043, 0.633]","0.563
[0.209, 0.914]"
macrocarnivores,Scorpaenidae,Pterois radiata,"0.019
[0.001, 0.074]","0.05
[0.002, 0.257]","0.127
[0.012, 0.328]","0.781
[0.481, 0.966]"
macrocarnivores,Scorpaenidae,Scorpaenopsis papuensis,"0.021
[0.001, 0.122]","0.056
[0.002, 0.294]","0.418
[0.022, 0.771]","0.465
[0.086, 0.942]"
macrocarnivores,Sphyraenidae,-,"0.03
[0.002, 0.242]","0.07
[0.005, 0.327]","0.408
[0.038, 0.85]","0.418
[0.059, 0.899]"
macrocarnivores,Sphyraenidae,Sphyraena barracuda,"0.026
[0.001, 0.325]","0.047
[0.002, 0.293]","0.422
[0.021, 0.845]","0.419
[0.048, 0.942]"
macrocarnivores,Synodontidae,-,"0.041
[0.006, 0.17]","0.276
[0.039, 0.69]","0.262
[0.044, 0.585]","0.354
[0.064, 0.757]"
macrocarnivores,Synodontidae,Synodus binotatus,"0.038
[0.003, 0.177]","0.259
[0.016, 0.571]","0.329
[0.022, 0.567]","0.336
[0.034, 0.875]"
macrocarnivores,Synodontidae,Synodus jaculum,"0.039
[0.006, 0.172]","0.632
[0.109, 0.867]","0.085
[0.018, 0.239]","0.225
[0.025, 0.697]"
microphages,-,-,"0.409
[0.248, 0.552]","0.097
[0.007, 0.324]","0.411
[0.268, 0.552]","0.052
[0.003, 0.223]"
microphages,Scaridae,Calotomus carolinus,"0.243
[0.124, 0.349]","0.075
[0.006, 0.304]","0.597
[0.441, 0.711]","0.046
[0.002, 0.27]"
microphages,Scaridae,Chlorurus microrhinos,"0.261
[0.12, 0.376]","0.072
[0.005, 0.315]","0.594
[0.417, 0.719]","0.04
[0.002, 0.239]"
microphages,Scaridae,Chlorurus spilurus,"0.55
[0.384, 0.671]","0.095
[0.005, 0.361]","0.275
[0.144, 0.402]","0.042
[0.002, 0.234]"
microphages,Scaridae,Scarus altipinnis,"0.444
[0.247, 0.575]","0.096
[0.006, 0.439]","0.363
[0.2, 0.498]","0.051
[0.002, 0.26]"
microphages,Scaridae,Scarus forsteni,"0.321
[0.173, 0.434]","0.078
[0.005, 0.311]","0.523
[0.391, 0.631]","0.047
[0.002, 0.218]"
microphages,Scaridae,Scarus frenatus,"0.519
[0.334, 0.701]","0.075
[0.005, 0.317]","0.33
[0.159, 0.494]","0.037
[0.002, 0.201]"
microphages,Scaridae,Scarus globiceps,"0.576
[0.364, 0.708]","0.085
[0.006, 0.414]","0.256
[0.101, 0.396]","0.044
[0.002, 0.231]"
microphages,Scaridae,Scarus oviceps,"0.448
[0.271, 0.575]","0.109
[0.006, 0.406]","0.342
[0.194, 0.479]","0.059
[0.002, 0.28]"
microphages,Scaridae,Scarus psittacus,"0.526
[0.358, 0.658]","0.105
[0.006, 0.392]","0.272
[0.128, 0.401]","0.05
[0.002, 0.268]"
microphages,Scaridae,Scarus rubroviolaceus,"0.312
[0.152, 0.439]","0.093
[0.005, 0.388]","0.5
[0.318, 0.635]","0.054
[0.002, 0.289]"
microphages,Scaridae,Scarus schlegeli,"0.274
[0.113, 0.39]","0.09
[0.006, 0.367]","0.549
[0.405, 0.663]","0.047
[0.003, 0.246]"
omnivores-benthic,-,-,"0.064
[0.006, 0.179]","0.276
[0.09, 0.45]","0.592
[0.449, 0.708]","0.056
[0.003, 0.192]"
omnivores-benthic,Ephippidae,-,"0.065
[0.006, 0.216]","0.284
[0.083, 0.539]","0.57
[0.345, 0.735]","0.056
[0.002, 0.234]"
omnivores-benthic,Ephippidae,Platax orbicularis,"0.072
[0.005, 0.247]","0.321
[0.072, 0.553]","0.522
[0.322, 0.689]","0.056
[0.002, 0.269]"
omnivores-benthic,Monacanthidae,-,"0.056
[0.005, 0.166]","0.223
[0.07, 0.389]","0.647
[0.5, 0.787]","0.053
[0.002, 0.196]"
omnivores-benthic,Monacanthidae,Aluterus scriptus,"0.044
[0.004, 0.138]","0.167
[0.046, 0.311]","0.721
[0.582, 0.848]","0.044
[0.001, 0.196]"
omnivores-benthic,Monacanthidae,Cantherhines sandwichiensis,"0.055
[0.004, 0.154]","0.21
[0.062, 0.336]","0.662
[0.547, 0.768]","0.054
[0.002, 0.227]"
omnivores-benthic,Ostraciidae,-,"0.063
[0.005, 0.199]","0.279
[0.08, 0.48]","0.585
[0.424, 0.723]","0.051
[0.002, 0.21]"
omnivores-benthic,Ostraciidae,Ostracion cubicum,"0.084
[0.004, 0.264]","0.398
[0.099, 0.61]","0.441
[0.284, 0.588]","0.058
[0.002, 0.282]"
omnivores-benthic,Ostraciidae,Ostracion meleagris,"0.049
[0.004, 0.153]","0.198
[0.051, 0.354]","0.692
[0.573, 0.813]","0.041
[0.002, 0.186]"
omnivores-benthic,Pomacanthidae,-,"0.051
[0.005, 0.155]","0.231
[0.065, 0.374]","0.657
[0.525, 0.772]","0.047
[0.002, 0.174]"
omnivores-benthic,Pomacanthidae,Centropyge bispinosa,"0.059
[0.004, 0.254]","0.35
[0.061, 0.6]","0.522
[0.311, 0.709]","0.045
[0.002, 0.207]"
omnivores-benthic,Pomacanthidae,Centropyge flavissima,"0.04
[0.004, 0.125]","0.167
[0.046, 0.282]","0.742
[0.643, 0.834]","0.036
[0.002, 0.159]"
omnivores-benthic,Pomacanthidae,Centropyge loriculus,"0.041
[0.004, 0.134]","0.172
[0.047, 0.32]","0.727
[0.581, 0.84]","0.04
[0.002, 0.192]"
omnivores-benthic,Pomacanthidae,Pomacanthus imperator,"0.042
[0.004, 0.134]","0.18
[0.049, 0.306]","0.717
[0.586, 0.825]","0.042
[0.002, 0.212]"
omnivores-benthic,Pomacanthidae,Pygoplites diacanthus,"0.053
[0.004, 0.161]","0.228
[0.06, 0.362]","0.661
[0.559, 0.76]","0.044
[0.002, 0.185]"
omnivores-benthic,Pomacentridae,-,"0.057
[0.006, 0.163]","0.268
[0.084, 0.42]","0.605
[0.479, 0.716]","0.057
[0.002, 0.214]"
omnivores-benthic,Pomacentridae,Abudefduf septemfasciatus,"0.057
[0.004, 0.189]","0.334
[0.085, 0.481]","0.533
[0.411, 0.643]","0.059
[0.002, 0.281]"
omnivores-benthic,Pomacentridae,Abudefduf sordidus,"0.06
[0.005, 0.191]","0.287
[0.081, 0.471]","0.572
[0.417, 0.708]","0.057
[0.002, 0.264]"
omnivores-benthic,Pomacentridae,Chrysiptera brownriggii,"0.049
[0.004, 0.166]","0.221
[0.056, 0.432]","0.653
[0.452, 0.815]","0.049
[0.002, 0.234]"
omnivores-benthic,Pomacentridae,Plectroglyphidodon dickii,"0.061
[0.005, 0.196]","0.291
[0.076, 0.491]","0.566
[0.399, 0.723]","0.057
[0.002, 0.262]"
omnivores-benthic,Pomacentridae,Plectroglyphidodon fasciolatus,"0.045
[0.004, 0.132]","0.196
[0.061, 0.308]","0.697
[0.598, 0.787]","0.048
[0.002, 0.198]"
omnivores-benthic,Pomacentridae,Plectroglyphidodon johnstonianus,"0.057
[0.005, 0.187]","0.262
[0.071, 0.452]","0.598
[0.436, 0.756]","0.055
[0.002, 0.244]"
omnivores-benthic,Tetraodontidae,-,"0.075
[0.005, 0.228]","0.346
[0.112, 0.574]","0.497
[0.322, 0.657]","0.056
[0.002, 0.215]"
omnivores-benthic,Tetraodontidae,Canthigaster bennetti,"0.099
[0.006, 0.332]","0.495
[0.125, 0.726]","0.34
[0.189, 0.493]","0.053
[0.002, 0.233]"
omnivores-benthic,Tetraodontidae,Canthigaster solandri,"0.073
[0.005, 0.211]","0.343
[0.106, 0.526]","0.51
[0.378, 0.631]","0.057
[0.002, 0.238]"
omnivores-benthic,Tetraodontidae,Canthigaster valentini,"0.081
[0.005, 0.255]","0.382
[0.11, 0.623]","0.455
[0.274, 0.621]","0.056
[0.002, 0.258]"
omnivores-pelagic,-,-,"0.047
[0.003, 0.392]","0.223
[0.04, 0.557]","0.522
[0.126, 0.821]","0.131
[0.013, 0.512]"
omnivores-pelagic,Acanthuridae,-,"0.014
[0, 0.413]","0.038
[0, 0.41]","0.826
[0.254, 0.991]","0.049
[0.001, 0.401]"
omnivores-pelagic,Acanthuridae,Naso brevirostris,"0.014
[0, 0.416]","0.035
[0, 0.327]","0.856
[0.289, 0.985]","0.046
[0.001, 0.418]"
omnivores-pelagic,Acanthuridae,Naso vlamingii,"0.011
[0, 0.437]","0.023
[0, 0.365]","0.885
[0.266, 0.994]","0.034
[0, 0.404]"
omnivores-pelagic,Balistidae,-,"0.014
[0, 0.214]","0.224
[0.038, 0.58]","0.67
[0.252, 0.938]","0.029
[0, 0.333]"
omnivores-pelagic,Balistidae,Melichthys niger,"0.012
[0, 0.209]","0.184
[0.038, 0.47]","0.736
[0.307, 0.93]","0.023
[0, 0.354]"
omnivores-pelagic,Balistidae,Melichthys vidua,"0.012
[0, 0.179]","0.268
[0.08, 0.539]","0.65
[0.287, 0.877]","0.027
[0, 0.322]"
omnivores-pelagic,Hemiramphidae,-,"0.023
[0, 0.439]","0.112
[0, 0.6]","0.689
[0.143, 0.989]","0.061
[0, 0.477]"
omnivores-pelagic,Hemiramphidae,Hemiramphus depauperatus,"0.022
[0, 0.383]","0.089
[0, 0.511]","0.749
[0.165, 0.989]","0.05
[0, 0.47]"
omnivores-pelagic,Pomacentridae,-,"0.026
[0.001, 0.197]","0.284
[0.005, 0.703]","0.329
[0.046, 0.731]","0.244
[0.012, 0.859]"
omnivores-pelagic,Pomacentridae,Dascyllus aruanus,"0.03
[0.001, 0.17]","0.474
[0.003, 0.831]","0.131
[0.017, 0.448]","0.293
[0.012, 0.875]"
omnivores-pelagic,Pomacentridae,Pomacentrus coelestis,"0.023
[0.001, 0.199]","0.261
[0.003, 0.74]","0.319
[0.043, 0.814]","0.236
[0.007, 0.878]"
omnivores-pelagic,Pomacentridae,Pomacentrus pavo,"0.022
[0.001, 0.196]","0.241
[0.003, 0.723]","0.335
[0.042, 0.856]","0.232
[0.006, 0.884]"
omnivores-pelagic,Pomacentridae,Pomachromis fuscidorsalis,"0.023
[0.001, 0.158]","0.205
[0.004, 0.63]","0.446
[0.084, 0.85]","0.213
[0.006, 0.799]"
planktivores,-,-,"0.034
[0.003, 0.118]","0.147
[0.006, 0.275]","0.686
[0.559, 0.797]","0.125
[0.007, 0.323]"
planktivores,Acanthuridae,-,"0.034
[0.003, 0.137]","0.146
[0.005, 0.306]","0.675
[0.504, 0.82]","0.127
[0.007, 0.359]"
planktivores,Acanthuridae,Acanthurus thompsoni,"0.035
[0.003, 0.153]","0.145
[0.005, 0.302]","0.669
[0.511, 0.805]","0.133
[0.006, 0.357]"
planktivores,Anthiadidae,-,"0.032
[0.003, 0.114]","0.122
[0.004, 0.273]","0.714
[0.56, 0.849]","0.112
[0.007, 0.317]"
planktivores,Anthiadidae,Mirolabrichthys pascalus,"0.028
[0.002, 0.104]","0.097
[0.004, 0.208]","0.763
[0.646, 0.862]","0.099
[0.006, 0.265]"
planktivores,Balistidae,-,"0.033
[0.003, 0.133]","0.136
[0.005, 0.291]","0.694
[0.532, 0.838]","0.12
[0.006, 0.327]"
planktivores,Balistidae,Odonus niger,"0.033
[0.002, 0.134]","0.126
[0.004, 0.256]","0.716
[0.592, 0.833]","0.11
[0.006, 0.289]"
planktivores,Caesionidae,-,"0.033
[0.003, 0.14]","0.14
[0.005, 0.313]","0.689
[0.526, 0.845]","0.113
[0.005, 0.33]"
planktivores,Caesionidae,Pterocaesio tile,"0.033
[0.002, 0.161]","0.137
[0.004, 0.341]","0.699
[0.522, 0.861]","0.102
[0.005, 0.315]"
planktivores,Chaetodontidae,-,"0.031
[0.003, 0.107]","0.124
[0.005, 0.27]","0.711
[0.573, 0.848]","0.115
[0.006, 0.32]"
planktivores,Chaetodontidae,Chaetodon trichrous,"0.028
[0.002, 0.106]","0.112
[0.004, 0.258]","0.726
[0.571, 0.854]","0.115
[0.006, 0.327]"
planktivores,Chaetodontidae,Hemitaurichthys polylepis,"0.027
[0.002, 0.098]","0.101
[0.004, 0.237]","0.749
[0.606, 0.866]","0.103
[0.005, 0.299]"
planktivores,Kuhliidae,-,"0.033
[0.003, 0.133]","0.136
[0.005, 0.297]","0.694
[0.531, 0.849]","0.118
[0.006, 0.328]"
planktivores,Kuhliidae,Kuhlia mugil,"0.033
[0.002, 0.15]","0.125
[0.004, 0.295]","0.706
[0.534, 0.861]","0.107
[0.006, 0.316]"
planktivores,Microdesmidae,-,"0.032
[0.003, 0.127]","0.146
[0.005, 0.302]","0.682
[0.514, 0.821]","0.125
[0.007, 0.354]"
planktivores,Microdesmidae,Nemateleotris magnifica,"0.029
[0.002, 0.116]","0.122
[0.005, 0.319]","0.707
[0.485, 0.863]","0.116
[0.006, 0.389]"
planktivores,Microdesmidae,Ptereleotris evides,"0.034
[0.002, 0.155]","0.152
[0.005, 0.359]","0.649
[0.449, 0.824]","0.133
[0.006, 0.401]"
planktivores,Pomacentridae,-,"0.037
[0.003, 0.123]","0.185
[0.005, 0.322]","0.619
[0.451, 0.732]","0.154
[0.007, 0.432]"
planktivores,Pomacentridae,Abudefduf sexfasciatus,"0.054
[0.004, 0.156]","0.217
[0.005, 0.413]","0.52
[0.315, 0.672]","0.2
[0.008, 0.546]"
planktivores,Pomacentridae,Chromis atripectoralis,"0.038
[0.003, 0.123]","0.187
[0.005, 0.374]","0.597
[0.392, 0.743]","0.165
[0.007, 0.506]"
planktivores,Pomacentridae,Chromis viridis,"0.038
[0.003, 0.139]","0.227
[0.005, 0.468]","0.515
[0.274, 0.701]","0.195
[0.007, 0.607]"
planktivores,Pomacentridae,Chromis xanthura,"0.03
[0.003, 0.103]","0.13
[0.004, 0.262]","0.682
[0.504, 0.808]","0.145
[0.006, 0.405]"
planktivores,Pomacentridae,Dascyllus flavicaudus,"0.041
[0.003, 0.148]","0.23
[0.005, 0.389]","0.565
[0.422, 0.684]","0.156
[0.007, 0.454]"
planktivores,Pomacentridae,Dascyllus trimaculatus,"0.04
[0.003, 0.141]","0.182
[0.004, 0.322]","0.627
[0.509, 0.731]","0.144
[0.006, 0.38]"
planktivores,Pomacentridae,Pycnochromis iomelas,"0.026
[0.002, 0.09]","0.124
[0.004, 0.256]","0.711
[0.516, 0.838]","0.125
[0.005, 0.398]"
planktivores,Pomacentridae,Pycnochromis margaritifer,"0.04
[0.003, 0.158]","0.285
[0.005, 0.487]","0.498
[0.332, 0.644]","0.155
[0.007, 0.539]"
