sample_id,sample_type,source,species,d13C,d15N,C_percent,N_percent,CN_ratio
T1,Algae,Brown algae,Sargassum sp,-11.0209867698827,3.07506272074904,25.5993411759527,0.56003877532892,45.709944210412544
T101,Algae,Red algae,Gelidiopsis sp,-15.8025959052365,4.15926664590168,25.8628856062958,1.31834684040778,19.617664193965915
T102,Algae,Red algae,Gelidiopsis sp,-14.4782725015001,4.60650414531933,23.2354471596935,1.52418153055722,15.244540557579738
T103,Algae,Green algae,Caulerpa serrulata,-10.3242719145156,3.70904756315458,21.4851546707206,1.29234746852813,16.62490560312723
T104,Algae,Green algae,Caulerpa serrulata,-8.37496268965056,4.26163434021283,23.5432214858125,1.30964862379176,17.976746631206307
T105,Algae,Green algae,Caulerpa serrulata,-10.3856929348679,4.15628506257223,25.2001909908804,1.41544902027398,17.803672636689203
T109,Algae,Brown algae,Sargassum sp,-12.9082650163545,2.46175187033425,28.9597856306922,0.643406147219005,45.01011648064773
T11,Algae,Brown algae,Turbinaria sp,-6.83887477502521,3.56677035365252,25.4759078075436,0.531262162399659,47.95355214546323
T110,Algae,Brown algae,Sargassum sp,-12.7724922345231,2.40907723151394,29.9549451591307,0.612244062930974,48.926477156394895
T111,Algae,Brown algae,Sargassum sp,-10.6593936220519,2.95967628635256,26.735602978602,0.634108241593343,42.16252246055443
T115,Bacteria,Cyanobacteria,Anabaena torulosa,-3.80610082484794,-0.176949376229888,15.4285565071531,0.88143958113997,17.503816299240018
T116,Bacteria,Cyanobacteria,Anabaena torulosa,-6.56358137013801,-0.93824698634971,16.774513929736,0.79443743808057,21.114958995719896
T117,Bacteria,Cyanobacteria,Anabaena torulosa,-3.10784080400075,-0.886566208639226,12.6799661766106,0.739233043497977,17.15286713457811
T118,Algae,Brown algae,Padina boryana,-10.0603415237232,2.9089893697519,14.3398630154799,0.378546997459638,37.88132810909131
T119,Algae,Brown algae,Padina boryana,-13.1299157269095,2.8096032587702,19.867277793327,0.461319475596192,43.06620215340198
T120,Algae,Brown algae,Padina boryana,-10.3594499982562,3.06303784177353,15.8974092759303,0.438375699460016,36.26434881201779
T16,Algae,Brown algae,Dictyota sp,-12.1464288516339,4.06484984046907,17.308906236688,0.658861340092237,26.270939245372702
T17,Algae,Brown algae,Padina boryana,-8.74433412247071,3.36417775804808,12.7456033100189,0.335454479538474,37.9950308833395
T18,Algae,Brown algae,Dictyota sp,-12.9352040603686,3.14652217499816,17.3106371432708,0.705499799773825,24.536700292218917
T4,Algae,Red algae,Amansia rhodantha,-14.4618978812702,4.62057118787913,37.4734858874607,2.50773040712115,14.943187585494842
T5,Algae,Red algae,Amansia rhodantha,-19.2272151492443,4.52639331464157,32.0431134802658,2.13739121657276,14.991693252883264
T6,Algae,Brown algae,Dictyota sp,-11.158835288983,3.54892612503909,18.2399684683363,0.777269165224605,23.466733641833784
T79,Algae,Red algae,Amansia rhodantha,-15.7788895465041,4.27455453464045,25.0030797928224,1.0964418027003,22.80383667536681
T8,Algae,Brown algae,Dictyota sp,-13.2053556110101,3.86714820197864,16.7018497408903,0.770011403432748,21.69039272202028
T80,Algae,Brown algae,Turbinaria sp,-6.94503823337861,2.87519809201812,26.3163552868228,0.431045844958539,61.05233490733241
T81,Algae,Brown algae,Dictyota sp,-11.0613241587432,2.91694025863043,16.3314925394838,0.626060872064927,26.086109623203075
T82,Algae,Brown algae,Dictyota sp,-13.0160211924111,3.69712122983678,17.2991264517485,0.728409184092792,23.749187722411754
T86,Algae,Brown algae,Turbinaria sp,-7.60019578380314,2.99446142519616,29.494917267552,0.424071966185641,69.55167900591749
T87,Algae,Brown algae,Turbinaria sp,-6.47306618225041,3.10478000838584,29.1060039482254,0.502437949958811,57.929549212219065
T89,Algae,Red algae,Amansia rhodantha,-16.7465400074929,4.47829606215294,37.2998750936771,2.84431252146296,13.11384554693451
T9,Algae,Brown algae,Turbinaria sp,-6.45926116088754,3.0235127269769,22.3823562024159,0.744169234530144,30.07697061885089
T90,Algae,Red algae,Amansia rhodantha,-17.5428581485517,4.27654225686009,36.5196220397286,2.7134879996844,13.458552993039262
T91,Algae,Red algae,Amansia rhodantha,-15.1571364106571,4.58563306201317,35.5326370175935,2.68778774961212,13.220030868405173
T92,Algae,Green algae,Caulerpa racemosa,-8.94176017570862,2.50051245361711,20.4139406937862,0.973712319734171,20.96506358198212
T93,Algae,Green algae,Caulerpa racemosa,-6.98814070380127,2.03041614867367,17.6382857312586,0.708019096529067,24.912161010525054
B_4_2,Water,POM,NA,-22.6494141628447,3.62711362343866,0.151445683918389,0.0163394538405916,9.268711512385877
B_9_2,Water,POM,NA,-22.3810650704445,3.30350060490798,0.14818557876979,0.0188767306193404,7.85017182042978
B_9_3,Water,POM,NA,-22.5889560669284,3.41800982684961,0.147384052809208,0.0182278283971117,8.085661637705664
B_3_2,Water,POM,NA,-24.6880187304065,3.97860714818121,0.206232855969675,0.0168922322469635,12.208739079273958
B_1_1,Water,POM,NA,-21.8655802526323,0.898806944133886,0.154751203813629,0.0247488679051227,6.2528599048200295
B_7_3,Water,POM,NA,-21.5643504414005,2.91715644740059,0.146444562370458,0.0178617282257336,8.19879020214145
B_1_5,Water,POM,NA,-22.7035082486645,2.3266871551277,0.163423132406592,0.022745010578063,7.185010173800912
