sample_id,sample_type,baseline,species,d13C,d15N,C_percent,N_percent,CN_ratio
T19,Invertebrates,Gastropoda,Monetaria moneta,-10.9503352974049,4.58960850645244,26.7684502756789,3.15149743998745,8.493882919284713
T20,Invertebrates,Gastropoda,Monetaria sp,-9.67637958123761,4.43556003443081,33.1926629973788,6.62116481585511,5.013115353645223
T21,Invertebrates,Bivalvia,Limaria fragilis,-12.2813810473832,5.62620564399157,35.8187151393306,8.88693057817816,4.030493410996524
T25,Invertebrates,Bivalvia,Limaria fragilis,-18.5615983442269,6.33681633751073,33.871021804603,7.13273488837945,4.74867247060944
T32,Invertebrates,Gastropoda,Monetaria sp,-10.0635235287715,4.70191481186176,31.7722359922249,5.62134302531637,5.6520720847553605
T33,Invertebrates,Gastropoda,Monetaria moneta,-12.6869009945295,5.95318594912136,37.2301454880478,7.10584141455062,5.239371851419551
T37,Invertebrates,Bivalvia,Limaria fragilis,-13.2243152100068,5.37972808875696,38.1591487108407,9.08872660897054,4.198514308173574
T59,Invertebrates,Bivalvia,Limaria fragilis,-18.2847639050315,5.70770225499657,27.1185252167346,5.0444942302022,5.375866039130666
T60,Invertebrates,Bivalvia,Limaria fragilis,-17.5263860352049,5.90051131030106,18.8889356707587,2.66667302539112,7.083333986171126
