family,species,trophic_guild
Lethrinidae,Gnathodentex aureolineatus,macrocarnivores
Lethrinidae,Lethrinus xanthochilus,macrocarnivores
Lethrinidae,Monotaxis grandoculis,macrocarnivores
Lutjanidae,Aphareus furca,macrocarnivores
Lutjanidae,Lutjanus fulvus,macrocarnivores
Lutjanidae,Lutjanus kasmira,macrocarnivores
Lutjanidae,Lutjanus monostigma,macrocarnivores
Microdesmidae,Nemateleotris magnifica,planktivores
Microdesmidae,Ptereleotris evides,planktivores
Monacanthidae,Aluterus scriptus,omnivores-benthic
Monacanthidae,Amanses scopas,invertivores-sessile
Monacanthidae,Cantherhines sandwichiensis,omnivores-benthic
Mugilidae,Ellochelon vaigiensis,herbivores-detritivores
Mullidae,Mulloidichthys flavolineatus,invertivores-benthic
Mullidae,Mulloidichthys vanicolensis,invertivores-benthic
Mullidae,Parupeneus barberinus,invertivores-benthic
Mullidae,Parupeneus ciliatus,invertivores-benthic
Mullidae,Parupeneus insularis,invertivores-benthic
Mullidae,Parupeneus multifasciatus,invertivores-benthic
Muraenidae,Gymnothorax fimbriatus,macrocarnivores
Muraenidae,Gymnothorax javanicus,macrocarnivores
Muraenidae,Uropterygius xanthopterus,macrocarnivores
Ostraciidae,Ostracion cubicum,omnivores-benthic
Ostraciidae,Ostracion meleagris,omnivores-benthic
Pempheridae,Pempheris oualensis,invertivores-benthic
Pinguipedidae,Parapercis millepunctata,invertivores-benthic
Pomacanthidae,Centropyge bispinosa,omnivores-benthic
Pomacanthidae,Centropyge flavissima,omnivores-benthic
Pomacanthidae,Centropyge loriculus,omnivores-benthic
Pomacanthidae,Pomacanthus imperator,omnivores-benthic
Pomacanthidae,Pygoplites diacanthus,omnivores-benthic
Pomacentridae,Abudefduf septemfasciatus,omnivores-benthic
Pomacentridae,Abudefduf sexfasciatus,planktivores
Pomacentridae,Abudefduf sordidus,omnivores-benthic
Pomacentridae,Chromis atripectoralis,planktivores
Pomacentridae,Chromis viridis,planktivores
Pomacentridae,Chromis xanthura,planktivores
Pomacentridae,Chrysiptera brownriggii,omnivores-benthic
Pomacentridae,Dascyllus aruanus,omnivores-pelagic
Pomacentridae,Dascyllus flavicaudus,planktivores
Pomacentridae,Dascyllus trimaculatus,planktivores
Pomacentridae,Plectroglyphidodon dickii,omnivores-benthic
Pomacentridae,Plectroglyphidodon fasciolatus,omnivores-benthic
Pomacentridae,Plectroglyphidodon johnstonianus,omnivores-benthic
Pomacentridae,Pomacentrus coelestis,omnivores-pelagic
Pomacentridae,Pomacentrus pavo,omnivores-pelagic
Pomacentridae,Pomachromis fuscidorsalis,omnivores-pelagic
Pomacentridae,Pycnochromis iomelas,planktivores
Pomacentridae,Pycnochromis margaritifer,planktivores
Pomacentridae,Stegastes albifasciatus,herbivores-detritivores
Pomacentridae,Stegastes nigricans,herbivores-detritivores
Priacanthidae,Priacanthus hamrur,macrocarnivores
Scaridae,Calotomus carolinus,microphages
Scaridae,Chlorurus microrhinos,microphages
Scaridae,Chlorurus spilurus,microphages
Scaridae,Scarus altipinnis,microphages
Scaridae,Scarus forsteni,microphages
Scaridae,Scarus frenatus,microphages
Scaridae,Scarus globiceps,microphages
Scaridae,Scarus oviceps,microphages
Scaridae,Scarus psittacus,microphages
Scaridae,Scarus rubroviolaceus,microphages
Scaridae,Scarus schlegeli,microphages
Scombridae,Gymnosarda unicolor,macrocarnivores
Scorpaenidae,Pterois radiata,macrocarnivores
Scorpaenidae,Scorpaenopsis papuensis,macrocarnivores
Siganidae,Siganus argenteus,herbivores-detritivores
Siganidae,Siganus spinus,herbivores-detritivores
Sphyraenidae,Sphyraena barracuda,macrocarnivores
Syngnathidae,Corythoichthys flavofasciatus,invertivores-benthic
Syngnathidae,Doryrhamphus excisus,invertivores-benthic
Synodontidae,Synodus binotatus,macrocarnivores
Synodontidae,Synodus jaculum,macrocarnivores
Tetraodontidae,Arothron meleagris,invertivores-sessile
Tetraodontidae,Canthigaster bennetti,omnivores-benthic
Tetraodontidae,Canthigaster solandri,omnivores-benthic
Tetraodontidae,Canthigaster valentini,omnivores-benthic
Zanclidae,Zanclus cornutus,invertivores-sessile
