id,year,type,species,tl,sl,weight,d15N,d13C
CA_ME_MO_03_16_007,2016,Fishes,Caranx melampygus,36.7782,29.3573,714.3,11.6095607281403,-14.0462315775217
CA_ME_MO_03_16_008,2016,Fishes,Caranx melampygus,39.249,31.642599999999998,162.3,12.4294038983241,-18.1265477428898
CA_PA_MO_03_16_001,2016,Fishes,Caranx papuensis,38.5642,29.6199,659.6,12.8110721214447,-14.6220142380713
CE_AR_MO_03_16_001,2016,Fishes,Cephalopholis argus,32.925,28.768400000000003,651.3,12.6249968895015,-10.844539866065
CE_AR_MO_03_16_002,2016,Fishes,Cephalopholis argus,22.136000000000003,19.096799999999998,149.9,13.6505329529642,-15.089261575211
CE_AR_MO_03_16_003,2016,Fishes,Cephalopholis argus,19.9998,17.759999999999998,113.7,13.7369221820351,-15.3205901950114
CE_AR_MO_03_16_004,2016,Fishes,Cephalopholis argus,20.6128,18.131899999999998,144.1,14.0281107072452,-15.2319743914006
CE_AR_MO_03_16_005,2016,Fishes,Cephalopholis argus,16.2996,14.4667,65.7,12.9036967287984,-14.2165964096803
CE_AR_MO_03_16_016,2016,Fishes,Cephalopholis argus,24.0855,20.7036,201.8,11.9915827574754,-11.5007763114535
CE_AR_MO_03_16_016b,2016,Fishes,Cephalopholis argus,35.6794,30.971600000000002,725.9,12.7997522869049,-13.545071141943
CE_AR_MO_03_16_017,2016,Fishes,Cephalopholis argus,21.474600000000002,18.3579,139.7,11.9300810338294,-12.2914196625981
CE_AR_MO_03_16_017b,2016,Fishes,Cephalopholis argus,31.463900000000002,27.955000000000002,399,12.2859486434454,-12.0439407819826
CE_AR_MO_03_16_018,2016,Fishes,Cephalopholis argus,12.0101,10.411,19.7,9.98781692255816,-12.8295259864904
CE_AR_TA_03_16_006,2016,Fishes,Cephalopholis argus,35.6269,31.4966,771.3,14.080783034331,-15.2458539750987
CE_AR_TA_03_16_007,2016,Fishes,Cephalopholis argus,32.1389,29.3555,577.6,11.519715356971,-10.2630834274918
