id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
BA_UN_MO_03_16_001,2016,Balistapus undulatus,Balistidae,28.3016,3.3429183401535036,24.113,451.5,invertivores-benthic,-10.4597270472104,11.6533232774226,3.989708834600231,McCutchan,1.3,2.9,-14.3463485321907,2.983167657081932
BA_UN_MO_03_16_002,2016,Balistapus undulatus,Balistidae,18.9435,2.9414608647721976,15.7043,131.7,invertivores-benthic,-11.6414298456194,11.9975345371831,3.989708834600231,McCutchan,1.3,2.9,-15.528051330599702,3.327378916842431
BA_UN_MO_03_16_003,2016,Balistapus undulatus,Balistidae,20.3955,3.015314288281713,17.290399999999998,145.3,invertivores-benthic,-12.3404352881408,12.0015023903215,3.989708834600231,McCutchan,1.3,2.9,-16.2270567731211,3.331346769980831
BA_UN_MO_03_16_004,2016,Balistapus undulatus,Balistidae,19.2429,2.957142161530017,16.6809,146.6,invertivores-benthic,-12.5247766624643,12.3308342008129,3.989708834600231,McCutchan,1.3,2.9,-16.4113981474446,3.660678580472231
BA_UN_MO_03_16_005,2016,Balistapus undulatus,Balistidae,19.9545,2.9934546818099332,16.9371,137.1,invertivores-benthic,-13.3502495445783,11.607732528162,3.989708834600231,McCutchan,1.3,2.9,-17.2368710295586,2.937576907821331
BA_UN_MO_03_16_007,2016,Balistapus undulatus,Balistidae,14.1016,2.6462882661236065,11.7781,55.2,invertivores-benthic,-14.946787898518,12.9597389232572,3.989708834600231,McCutchan,1.3,2.9,-18.8334093834983,4.289583302916531
BA_UN_MO_03_16_008,2016,Balistapus undulatus,Balistidae,13.815,2.6257549583753796,11.7478,52.5,invertivores-benthic,-12.6439471213106,11.3774137265804,3.989708834600231,McCutchan,1.3,2.9,-16.5305686062909,2.707258106239731
BA_UN_MO_03_16_009,2016,Balistapus undulatus,Balistidae,13.0434,2.5682822587090515,10.9617,43.3,invertivores-benthic,-13.7653478203219,12.4392731364696,3.989708834600231,McCutchan,1.3,2.9,-17.6519693053022,3.769117516128931
BA_UN_MO_03_16_010,2016,Balistapus undulatus,Balistidae,12.906,2.557692319513648,10.5308,48.9,invertivores-benthic,-14.8349044054315,13.3188296322869,3.989708834600231,McCutchan,1.3,2.9,-18.7215258904118,4.64867401194623
BA_UN_MO_03_16_011,2016,Balistapus undulatus,Balistidae,11.7184,2.4611602560579997,9.472,30.4,invertivores-benthic,-14.9968690811377,13.1412682043413,3.989708834600231,McCutchan,1.3,2.9,-18.883490566118,4.471112584000631
BA_UN_MO_03_16_013,2016,Balistapus undulatus,Balistidae,7.0396,1.9515513503739188,5.7376,7.7,invertivores-benthic,-16.2947176009413,11.9499202995217,3.989708834600231,McCutchan,1.3,2.9,-20.1813390859216,3.2797646791810315
CH_AU_MO_03_16_001,2016,Chaetodon auriga,Chaetodontidae,6.504300000000001,1.8724634966430178,5.6423000000000005,5.8,invertivores-benthic,-9.48262375954653,8.40906660643289,3.2543744455206163,McCutchan,1.3,2.9,-12.413310538723332,1.871380714423104
CH_AU_MO_03_16_002,2016,Chaetodon auriga,Chaetodontidae,6.3664000000000005,1.8510341606905272,5.570600000000001,5.3,invertivores-benthic,-8.58045081917202,8.33949938197996,3.2543744455206163,McCutchan,1.3,2.9,-11.511137598348821,1.8018134899701739
CH_AU_MO_03_16_003,2016,Chaetodon auriga,Chaetodontidae,5.8072,1.7590985269884938,4.9468000000000005,4,invertivores-benthic,-9.70362943843117,8.11887189871495,3.2543744455206163,McCutchan,1.3,2.9,-12.63431621760797,1.5811860067051633
CH_AU_MO_03_16_004,2016,Chaetodon auriga,Chaetodontidae,4.5238,1.5093523486117437,3.8786,2.2,invertivores-benthic,-10.0356717869004,7.9727807273638,3.2543744455206163,McCutchan,1.3,2.9,-12.9663585660772,1.435094835354013
CH_CH_MO_03_16_001,2016,Cheilinus chlorourus,Labridae,15.7453,2.7565419080393,13.4614,69.4,invertivores-benthic,-9.84669591654973,9.0510727063842,3.1119093123894106,McCutchan,1.3,2.9,-12.592178022655965,2.9265357004549095
CH_CH_MO_03_16_002,2016,Cheilinus chlorourus,Labridae,11.1441,2.410910209875865,9.466,22.7,invertivores-benthic,-10.7478011966398,8.92883315484548,3.1119093123894106,McCutchan,1.3,2.9,-13.493283302746034,2.8042961489161886
CH_CH_MO_03_16_003,2016,Cheilinus chlorourus,Labridae,9.681,2.2701652017379343,8.4077,15.1,invertivores-benthic,-10.7638161009068,8.68336023427586,3.1119093123894106,McCutchan,1.3,2.9,-13.509298207013034,2.5588232283465686
CH_CH_MO_03_16_004,2016,Cheilinus chlorourus,Labridae,9.5859,2.2602932688032022,8.1282,20.9,invertivores-benthic,-10.247068523224801,8.44683167113591,3.1119093123894106,McCutchan,1.3,2.9,-12.992550629331035,2.32229466520662
CH_CH_MO_03_16_005,2016,Cheilinus chlorourus,Labridae,8.6954,2.162794150198379,7.276000000000001,15.4,invertivores-benthic,-10.2598804466384,8.42198623383129,3.1119093123894106,McCutchan,1.3,2.9,-13.005362552744634,2.297449227902
