id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
CE_FL_MO_03_16_001,2016,Centropyge flavissima,Pomacanthidae,9.7487,2.2771339427867434,7.981,19,omnivores-benthic,-13.6208750221401,10.1502348527405,3.1566069002675983,Post,0.39,3.4,-14.461951713244463,2.817771391830666
CE_FL_MO_03_16_002,2016,Centropyge flavissima,Pomacanthidae,9.6232,2.264176849697726,7.813599999999999,19.1,omnivores-benthic,-17.6395483328734,11.5654309616115,3.1566069002675983,Post,0.39,3.4,-18.480625023977762,4.232967500701667
CE_FL_MO_03_16_003,2016,Centropyge flavissima,Pomacanthidae,9.3512,2.2355046773114235,7.855500000000001,17.4,omnivores-benthic,-17.428151596549,10.8608143596525,3.1566069002675983,Post,0.39,3.4,-18.269228287653362,3.5283508987426657
CE_FL_MO_03_16_004,2016,Centropyge flavissima,Pomacanthidae,8.273900000000001,2.113105981913488,7.0813999999999995,14.5,omnivores-benthic,-13.8012853628128,10.5200714366868,3.1566069002675983,Post,0.39,3.4,-14.642362053917164,3.1876079757769666
ST_FA_MO_03_16_001,2016,Plectroglyphidodon fasciolatus,Pomacentridae,8.427800000000001,2.1315357652379703,6.570099999999999,9.2,omnivores-benthic,-15.8234171006914,10.5061925922097,2.9879269060111606,Post,0.39,3.4,-16.598708594035752,3.7472411117717543
ST_FA_MO_03_16_002,2016,Plectroglyphidodon fasciolatus,Pomacentridae,7.767100000000001,2.049896864338535,6.1095999999999995,6.8,omnivores-benthic,-16.105476378235,10.7123925672982,2.9879269060111606,Post,0.39,3.4,-16.88076787157935,3.9534410868602547
ST_FA_MO_03_16_003,2016,Plectroglyphidodon fasciolatus,Pomacentridae,8.2665,2.1122112030092626,6.1998,7.3,omnivores-benthic,-17.5793951593841,11.2338405812241,2.9879269060111606,Post,0.39,3.4,-18.35468665272845,4.474889100786155
MOO18_F068,2018,Cantherhines sandwichiensis,Monacanthidae,14.5,2.6741486494265287,13,66.1,omnivores-benthic,-16.1055717237721,8.74338955604044,2.7566065741683583,Post,0.39,3.4,-16.79064828769776,2.7709272038680224
MOO18_F109,2018,Ostracion cubicum,Ostraciidae,24.4,3.1945831322991562,19.5,306.6,omnivores-benthic,-10.6726920583811,8.72728462298866,2.98631073932615,Post,0.39,3.4,-11.447353246718299,1.9738281092797507
MOO18_F137,2018,Abudefduf septemfasciatus,Pomacentridae,18.4,2.91235066461494,14.9,158.6,omnivores-benthic,-12.9938390179567,8.64878676096488,2.8184773350100825,Post,0.39,3.4,-13.703045178610633,2.4659638219305995
MOO18_F167,2018,Pygoplites diacanthus,Pomacanthidae,17,2.833213344056216,13.6,119.3,omnivores-benthic,-14.7056554804028,12.1638027468034,3.288336045761489,Post,0.39,3.4,-15.59810653824978,4.383460191214338
MOO18_F169,2018,Pygoplites diacanthus,Pomacanthidae,19,2.9444389791664403,16.1,176.6,omnivores-benthic,-14.6592329192342,12.3774393094344,3.288336045761489,Post,0.39,3.4,-15.55168397708118,4.597096753845339
MOO18_F205,2018,Canthigaster valentini,Tetraodontidae,8.9,2.186051276738094,6.8,16.8,omnivores-benthic,-11.657856479016,8.20149646772901,2.889126758457522,Post,0.39,3.4,-12.394615914814434,1.7784654889734348
MOO18_F210,2018,Centropyge loriculus,Pomacanthidae,6.4,1.8562979903656263,4.9,7.9,omnivores-benthic,-17.0568387130838,9.25441603525487,3.0465601391707082,Post,0.39,3.4,-17.854997167360374,2.2961115620744623
MOO18_F331,2018,Cantherhines sandwichiensis,Monacanthidae,16.1,2.7788192719904172,12.5,77.8,omnivores-benthic,-16.3863373114777,9.13414475346033,2.7566065741683583,Post,0.39,3.4,-17.07141387540336,3.1616824012879112
MOO18_F412,2018,Centropyge flavissima,Pomacanthidae,10.1,2.3125354238472138,8.4,26.8,omnivores-benthic,-15.4144224335469,9.36310817541526,3.1566069002675983,Post,0.39,3.4,-16.255499124651262,2.030644714505426
MOO18_F440,2018,Centropyge bispinosa,Pomacanthidae,9.8,2.2823823856765264,7.7,27.9,omnivores-benthic,-9.94480599508902,7.09942760364442,2.7013928566064207,Post,0.39,3.4,-10.608349209165524,1.3146918911825898
MOO18_F498,2018,Pygoplites diacanthus,Pomacanthidae,19.1,2.9496883350525844,15.1,189.3,omnivores-benthic,-14.701215365908,10.2003763043894,3.288336045761489,Post,0.39,3.4,-15.59366642375498,2.4200337488003374
MOO18_F549,2018,Cantherhines sandwichiensis,Monacanthidae,15,2.70805020110221,12.2,65.1,omnivores-benthic,-16.2035524086739,7.95654161392452,2.7566065741683583,Post,0.39,3.4,-16.88862897259956,1.9840792617521013
MOO18_F556,2018,Pomacanthus imperator,Pomacanthidae,28.1,3.3357695763397,23.2,593,omnivores-benthic,-16.5781456818702,9.73026579728503,3.2027586071938563,Post,0.39,3.4,-17.437221538675804,2.240886532825919
MOO18_F557,2018,Cantherhines sandwichiensis,Monacanthidae,16.1,2.7788192719904172,13.9,93.6,omnivores-benthic,-16.1936425337216,8.30429459178254,2.7566065741683583,Post,0.39,3.4,-16.87871909764726,2.3318322396101214
MOO18_F559,2018,Cantherhines sandwichiensis,Monacanthidae,15.9,2.766319109226186,12.5,75.4,omnivores-benthic,-16.6465238190409,7.82406428902622,2.7566065741683583,Post,0.39,3.4,-17.33160038296656,1.8516019368538013
